Manufactor,Year,Model,Hand,Gear,Engine_Capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
פיג'ו,2015,508,3,אוטומטית,1600,בנזין,פרטית,פרטית,באר שבע והסביבה,שדרות,37000.0,6,2024-05-27,2024-01-06,"['מצב מעולה , כיפי לנסיעה טסט 09/24 ,כסאות חשמליים, מראות מתקפלות מולטימדיה מקורית, רכב מנהלים מפנק מאוד הבכלום כסף']",כסוף מטאלי,100496,86,182.0
פיג'ו,2016,208,3,רובוטית,1200,בנזין,פרטית,פרטית,מושבים בשרון,שער אפרים,25000.0,3,2024-05-20,2024-05-06,"['חדשה !! . זריזה מאוד . שקטה וקלה לנהיגה .', ""תוספות מובילאיי מסך טאץ' ווייז מצלמה אחורית בלוטוס חיישני חנייה ......""]",שחור,99000,267,2028.0
פיג'ו,2014,301,2,ידנית,1200,בנזין,פרטית,פרטית,יישובי השומרון,קדומים,15000.0,3,2024-02-05,2024-02-05,['רכב פרטי שמור טסט לשנה מוכר עקב מעבר לרכב עבודה'],אפור מטאלי,130000,267,484.0
פיג'ו,2012,207,3,אוטומטית,1600,בנזין,פרטית,פרטית,באר שבע והסביבה,באר שבע,12500.0,7,2024-09-04,2024-09-04,"['למכירה  פיגו 207 שנת 2012 דגם אקטיב במצב מעולה   200 אלף קילומטר מבחינה מכאנית וקוסמטית הכל פיקס  יד שלישית פרטית הרכב עבר יישור קו לאחרונה הרכב שמור ומטופל היטב בזמן טסט לשנה מערכת מולטימדיה חדשה עם מצלמת רוורס בשווי 1200 ש״ח  חסכוני בדלק   דורש 12,500 גמיש במחיר מחירון משוקלל בלוי יצחק 14,900', 'תוספות מערכת מולטימדיה חדשה']",אפור,200000,239,671.0
פיג'ו,2020,2008,1,אוטומטית,1200,בנזין,פרטית,פרטית,בקעת אונו,קרית אונו,69000.0,3,2024-03-04,2024-03-04,['רכב שמור מאד. לאחר טיפול כולל רצועת טיימינג חדשה. טופל רק במוסך מורשה מעלייתו לכביש. טסט לשנה. נמכר עקב מעבר לרכב חברה.'],לבן,55000,208,1155.0
פיג'ו,2018,301,4,ידנית,1600,דיזל,מונית,פרטית,טבריה והסביבה,טבריה,19500.0,7,2024-02-19,2024-02-19,"['פיגו טורבו דיזל שנה 2018 מנוע 1600 טסט ,8 חודשים']",לבן מטאלי,170586,55,42.0
פיג'ו,2007,307,3,אוטומטית,1200,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,15000.0,1,2023-12-12,2023-11-12,,אפור,258000,86,313.0
פיג'ו,2015,508,3,אוטומטית,1600,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,25000.0,5,2023-09-11,2023-09-11,"[""למכירה בהזדמנות (לא מעוניין בהחלפה) 🚗 רכב מנהלי פיגיו 508 (2015) בצבע אפור פלדה יד 3 פרטי, מנוע 1,6, 156 כוח סוס,,190700ק''מ , עם 6 מצלמות!!!  8 חיישנים קדמיים ואחוריים מקוריות!!! יש מערכת mobiline!!!  מראות חשמליות!!!  קיים באוטו מערכת אנדרואיד מקורית (Waze, YouTube )  4 צמיגים חדשים !!! טסט עד04/24 ,לא חסר לו בורג .  מחיר 25.000 ₪  לכל המעוניינים רכב נמצא בחיפה, נא לפנות : 0546410240 ילנה. 058-399-2045 אלדר""]",אפור מטאלי,190000,,182.0
פיג'ו,2018,5008,2,אוטומטית,1600,דיזל,פרטית,פרטית,מודיעין והסביבה,מודיעין עילית,82000.0,4,2023-10-25,2023-10-25,"['דגם פרימיום כל התוספות.גג נפתח מושבי עור מתכווננים.מושב נהג חשמלי.חימום מושבים.', ""תוספות גגון פיג'ו מקורי""]",לבן,190000,,846.0
פיג'ו,1995,106,5,ידנית,1200,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,20000.0,1,2023-11-09,2023-11-09,['מוסב ראלי (למעט המנוע) אין טסט שנתיים וחצי מניע ונוסע הרכב מגיע עם רכב נוסף לחלקים'],לבן,140000,,
